phi_target,component,RE_ratio,L_over_sigma_ratio,zeta,sigma_ratio
0.6,phi,1.0012680664083415,1.0012798212288694,-0.06499891431807844,1.002569421174135
0.6,perm,0.7810841344411333,0.7791180229262661,-0.06499891431807844,0.9995231906855178
0.6,tau,1.0183741779891702,1.0097995420087202,-0.06499891431807844,1.019758512222329
0.6,chem,5.696351443804602e-05,3.271051980751402e-05,2.3284264315886784e-05,11.044196320431954
0.6,struct,0.7964653309029015,0.7877638639193595,-0.06499891431807844,1.0218858426268076
0.6,all,4.4966704657298606e-05,2.575662372525412e-05,2.3284264315886784e-05,11.29108078366748
0.8,phi,0.9997746911869209,1.0085730061989524,-0.06499891431807844,1.0172641115288443
0.8,perm,0.5859542688080068,0.39765301210347076,-0.06499891431807844,0.9989557397696394
0.8,tau,1.0557675529463537,1.0050607097331627,-0.06499891431807844,1.010173176850824
0.8,chem,0.0021121433925571907,0.0013470024847624094,0.002596138018148609,29.946196813092715
0.8,struct,0.37276053517448393,0.40309727648512894,-0.06499891431807844,1.0265252251477
0.8,all,0.0007794055535262604,0.0005424215666565605,0.002596138018148609,30.772304006036613
0.9,phi,1.0001287287966198,0.9999444256325521,-0.044313675169121824,0.9998887941206842
0.9,perm,0.3096423593834285,0.31349112985828226,-0.044313675169121824,0.9997450099044466
0.9,tau,0.9986726008553908,1.002728972059656,-0.044313675169121824,1.0054683655289618
0.9,chem,0.001781694594016756,0.0011932760748449873,0.0031693691312815004,60.570932354079964
0.9,struct,0.3092988381040367,0.3143293715248882,-0.044313675169121824,1.005099510223412
0.9,all,0.0005500423304212854,0.00037498896597700784,0.0031693691312815004,60.89524766806655
