z_cm,r_cm,model_vpp_mv,panel
-4.3,0.0,0.043899077573476726,z
-3.8,0.0,0.05439828828291262,z
-3.3000000000000003,0.0,0.06883102563482511,z
-2.8000000000000003,0.0,0.08923133994521373,z
-2.3,0.0,0.11899447583694808,z
-1.7999999999999998,0.0,0.16403182044816247,z
-1.3,0.0,0.2352302656390714,z
-0.8,0.0,0.3552759654331603,z
-0.3,0.0,0.5805873388601182,z
-1.3,-2.5,0.07973378200297324,r
-1.3,-2.0,0.11636286255338579,r
-1.3,-1.5,0.15684004360083353,r
-1.3,-0.9999999999999999,0.1955098476596356,r
-1.3,-0.4999999999999998,0.22448385350008404,r
-1.3,3.469446951953614e-16,0.2352302656390714,r
-1.3,0.5000000000000004,0.224483853500084,r
-1.3,1.0000000000000002,0.1955098476596356,r
-1.3,1.5000000000000007,0.15684004360083348,r
-1.3,2.000000000000001,0.11636286255338571,r
-1.3,2.500000000000001,0.07973378200297318,r
