figure,panel,coordinate_name,coordinate_cm,paper_present_model_vpp_mv,recomputed_model_vpp_mv,ratio_recomputed_to_paper_model,nearest_model_distance_cm
Fig11,z,z_cm,-4.3,0.02,0.043899077573476726,2.1949538786738363,0.0
Fig11,z,z_cm,-3.8,0.026,0.05439828828291262,2.0922418570351007,0.0
Fig11,z,z_cm,-3.3,0.036,0.06883102563482511,1.9119729343006977,4.440892098500626e-16
Fig11,z,z_cm,-2.8,0.048,0.08923133994521373,1.8589862488586195,4.440892098500626e-16
Fig11,z,z_cm,-2.3,0.064,0.11899447583694808,1.8592886849523138,0.0
Fig11,z,z_cm,-1.8,0.091,0.16403182044816247,1.802547477452335,2.220446049250313e-16
Fig11,z,z_cm,-1.3,0.13,0.2352302656390714,1.8094635818390108,0.0
Fig11,z,z_cm,-0.8,0.185,0.3552759654331603,1.9204106239630288,0.0
Fig11,z,z_cm,-0.3,0.36,0.5805873388601182,1.6127426079447726,0.0
Fig11,r,r_cm,-2.5,0.03,0.07973378200297324,2.657792733432441,0.0
Fig11,r,r_cm,-2.0,0.045,0.11636286255338579,2.58584139007524,0.0
Fig11,r,r_cm,-1.5,0.065,0.15684004360083353,2.4129237477051313,0.0
Fig11,r,r_cm,-1.0,0.092,0.1955098476596356,2.125107039778648,1.1102230246251565e-16
Fig11,r,r_cm,-0.5,0.12,0.22448385350008404,1.870698779167367,2.220446049250313e-16
Fig11,r,r_cm,0.0,0.135,0.2352302656390714,1.7424464121412695,3.469446951953614e-16
Fig11,r,r_cm,0.5,0.12,0.224483853500084,1.8706987791673668,4.440892098500626e-16
Fig11,r,r_cm,1.0,0.092,0.1955098476596356,2.125107039778648,2.220446049250313e-16
Fig11,r,r_cm,1.5,0.07,0.15684004360083348,2.240572051440478,6.661338147750939e-16
Fig11,r,r_cm,2.0,0.048,0.11636286255338571,2.424226303195536,8.881784197001252e-16
Fig11,r,r_cm,2.5,0.03,0.07973378200297318,2.6577927334324394,8.881784197001252e-16
