scan,metric,min,max,max_over_min,scan_value_at_max
electrolyte_concentration_molL,RE_energy_proxy,880596490.3027347,5.55575210599128e+17,630907818.4130967,1.4187266741165963e-06
electrolyte_concentration_molL,TTM_energy_proxy_abs,5.263142491993807e-27,1.905149365756623e-09,3.6197943883425165e+17,1.4187266741165963e-06
electrolyte_concentration_molL,L_abs,1.3623808781439709e-11,3.1250439864088318e-09,229.38108105761228,1.4187266741165963e-06
pH,RE_energy_proxy,44697823563392.73,1.0861992138716954e+17,2430.0941908976674,7.063291139240507
pH,TTM_energy_proxy_abs,2.9324577345387805e-19,7.406416570232616e-13,2525668.6509064054,7.063291139240507
pH,L_abs,0.0,1.7391937368005003e-09,,7.063291139240507
permeability_m2,RE_energy_proxy,434468092744281.9,8.606751738788507e+17,1980.9859187644067,6.5793322465756826e-15
permeability_m2,TTM_energy_proxy_abs,1.2027951626902733e-17,3.581877776755543e-11,2977961.5747240055,1e-14
permeability_m2,L_abs,1.0899266969165795e-10,4.665721919778329e-09,42.807667093371805,8.697490026177834e-15
pore_fluid_bulk_modulus_Pa,RE_energy_proxy,1.0757884907687682e+16,1.1163012570689413e+17,10.376586723578185,35019004614.317055
pore_fluid_bulk_modulus_Pa,TTM_energy_proxy_abs,6.48075970020168e-14,7.712305414165749e-13,11.900310721173236,100000000000.0
pore_fluid_bulk_modulus_Pa,L_abs,1.7391937368005003e-09,1.7391937368005003e-09,1.0,10000000.0
porosity,RE_energy_proxy,8827980635035823.0,1.491068093416299e+18,168.90251067142813,0.85
porosity,TTM_energy_proxy_abs,2.1781218933035435e-14,3.1515800094522266e-10,14469.254540535587,0.85
porosity,L_abs,4.69221860652451e-10,1.1087786344463376e-08,23.630157233181457,0.85
tortuosity,RE_energy_proxy,1.3800989830860382e+16,7.653277594650403e+17,55.454555712641096,1.0
tortuosity,TTM_energy_proxy_abs,4.0950223343611436e-14,1.3788191278268125e-11,336.7061313090297,1.0
tortuosity,L_abs,5.442221834091889e-10,5.963720138425704e-09,10.958245217177616,1.0
viscosity_Pa_s,RE_energy_proxy,963503131756.491,3.2924678865117147e+19,34171844.159026876,1e-06
viscosity_Pa_s,TTM_energy_proxy_abs,4.6181709632812355e-23,1.6306006418558124e-08,353083646062609.56,1e-06
viscosity_Pa_s,L_abs,4.787326331197921e-12,4.499421223421231e-08,9398.609812954513,1e-06
